player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles_attempted,tackles,start_min,finish_min,team_goals_conceded
396,25-26-friendly-milan-vs-liverpool,58,0,0,2,0.0,0.0,0,0,0,2,34,23,,0.0,6,0,,0,,2,1,2,0,0,0,0,3,3,3,,0,,0,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,,,0.0,,,0.0,0.0,0.0
373,25-26-friendly-milan-vs-liverpool,90,0,0,0,0.0,0.0,0,0,0,0,50,42,,0.0,10,0,,3,,0,0,2,0,3,2,1,2,3,1,,1,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
381,25-26-friendly-milan-vs-liverpool,90,0,0,2,0.0,0.0,0,1,0,5,37,23,,0.0,1,0,,1,,0,0,2,0,0,0,0,1,3,1,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
388,25-26-friendly-milan-vs-liverpool,45,0,0,1,0.0,0.0,0,0,0,3,44,36,,0.0,6,0,,0,,0,0,2,0,1,1,0,0,3,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
375,25-26-friendly-milan-vs-liverpool,45,0,0,1,0.0,0.0,0,0,0,2,33,25,,0.0,3,0,,0,,1,0,0,0,0,0,2,4,3,3,,1,,1,0,0,0,0.0,0.0,0,0,0,1,0,0,0,1,,,0.0,,,0.0,0.0,0.0
372,25-26-friendly-milan-vs-liverpool,90,0,0,1,0.0,0.0,1,0,0,1,32,23,,0.0,4,0,,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
395,25-26-friendly-milan-vs-liverpool,59,0,0,1,0.0,0.0,0,0,0,1,71,62,,1.0,7,0,,4,,0,0,2,0,0,0,1,2,2,2,,0,,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
391,25-26-friendly-milan-vs-liverpool,45,0,0,1,0.0,0.0,1,0,0,4,17,9,,0.0,0,0,,0,,0,0,4,0,0,0,0,1,2,0,,1,,0,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,,,0.0,,,0.0,0.0,0.0
367,25-26-friendly-milan-vs-liverpool,45,0,0,0,0.0,0.0,0,0,0,0,7,7,,0.0,0,0,,1,,0,0,1,0,0,0,0,0,0,0,,0,,0,0,0,2,0.0,0.0,0,7,1,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
377,25-26-friendly-milan-vs-liverpool,45,0,0,0,0.0,0.0,0,0,0,0,68,61,,0.0,11,1,,2,,0,1,4,0,0,0,0,1,0,1,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
53,25-26-friendly-aston-villa-vs-eintracht-frankfurt,63,0,2,0,0.0,0.58,0,0,0,6,20,5,,2.0,2,0,,1,,1,1,2,0,0,0,0,2,4,2,,0,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
64,25-26-friendly-aston-villa-vs-eintracht-frankfurt,64,1,0,2,0.33,0.1,1,1,0,5,21,5,,0.0,0,0,,0,,1,0,0,0,0,0,0,6,1,5,,1,,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
58,25-26-friendly-aston-villa-vs-eintracht-frankfurt,64,0,0,0,0.0,0.01,0,2,0,0,39,24,,0.0,5,0,,4,,0,1,5,2,4,3,0,5,0,4,,1,,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
47,25-26-friendly-aston-villa-vs-eintracht-frankfurt,47,1,0,1,0.25,0.0,1,0,0,2,12,4,,1.0,0,0,,0,,0,0,1,0,1,1,0,0,2,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
37,25-26-friendly-aston-villa-vs-eintracht-frankfurt,63,0,0,0,0.0,0.07,0,0,0,1,44,24,,0.0,1,1,,1,,1,2,5,0,2,2,0,4,2,3,,1,,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
59,25-26-friendly-aston-villa-vs-eintracht-frankfurt,47,0,0,0,0.0,0.37,0,0,0,0,25,12,,1.0,3,0,,2,,0,0,0,1,1,0,0,8,1,7,,1,,5,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
36,25-26-friendly-aston-villa-vs-eintracht-frankfurt,45,0,0,0,0.0,0.02,0,0,0,0,26,16,,0.0,0,1,,0,,1,0,2,0,2,1,0,2,1,2,,0,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
41,25-26-friendly-aston-villa-vs-eintracht-frankfurt,47,0,0,0,0.0,0.0,0,0,0,0,35,30,,0.0,2,0,,1,,1,0,0,0,2,1,0,3,1,2,,1,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
48,25-26-friendly-aston-villa-vs-eintracht-frankfurt,45,0,0,0,0.0,0.0,0,1,0,0,32,16,,0.0,4,0,,2,,0,0,2,1,3,3,0,4,3,3,,1,,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
51,25-26-friendly-aston-villa-vs-eintracht-frankfurt,26,0,0,0,0.0,0.05,0,1,0,1,9,6,,1.0,0,0,,0,,0,1,1,0,0,0,0,1,1,1,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
62,25-26-friendly-aston-villa-vs-eintracht-frankfurt,26,0,0,1,0.22,0.05,0,1,1,2,6,2,,0.0,0,0,,0,,0,0,0,0,0,0,0,2,0,2,,0,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
44,25-26-friendly-aston-villa-vs-eintracht-frankfurt,90,0,0,0,0.0,0.0,0,0,0,0,42,30,,0.0,0,0,,0,,1,0,1,0,2,2,0,6,3,4,,2,,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
50,25-26-friendly-aston-villa-vs-eintracht-frankfurt,45,0,0,0,0.0,0.01,0,0,0,1,17,11,,0.0,1,0,,0,,0,2,2,0,0,0,0,0,2,0,,0,,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
34,25-26-friendly-aston-villa-vs-eintracht-frankfurt,26,0,0,0,0.0,0.0,0,0,0,0,12,9,,0.0,0,0,,1,,0,0,1,0,0,0,0,0,0,0,,0,,0,0,0,1,0.09,0.91,0,9,1,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
39,25-26-friendly-aston-villa-vs-eintracht-frankfurt,27,0,0,0,0.0,0.0,0,0,0,0,12,5,,0.0,0,0,,0,,0,0,1,0,1,1,1,0,1,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
52,25-26-friendly-aston-villa-vs-eintracht-frankfurt,64,0,0,0,0.0,0.0,0,0,0,2,21,14,,0.0,2,0,,0,,0,0,0,0,0,0,1,1,2,1,,0,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
33,25-26-friendly-aston-villa-vs-eintracht-frankfurt,64,0,0,0,0.0,0.0,0,0,0,0,30,25,,1.0,0,0,,3,,0,0,5,0,0,0,0,0,0,0,,0,,0,0,1,1,0.31,0.69,0,25,3,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
49,25-26-friendly-aston-villa-vs-eintracht-frankfurt,27,0,0,2,0.08,0.0,0,0,0,1,10,6,,0.0,0,0,,0,,0,0,3,0,0,0,0,1,3,1,,0,,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
40,25-26-friendly-aston-villa-vs-eintracht-frankfurt,45,0,0,0,0.0,0.05,0,0,0,1,37,28,,0.0,4,0,,3,,0,2,2,0,2,2,0,2,0,0,,2,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
279,25-26-friendly-crystal-palace-vs-hamarkameratene,45,1,0,4,0.21,0.07,2,1,0,3,39,19,,0.0,2,1,,1,,2,0,2,0,0,0,0,4,3,3,,1,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
260,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,1,0.1,0.05,0,1,0,2,61,46,,0.0,9,0,,2,,0,1,3,0,4,4,0,5,0,3,,2,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
261,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.01,0,0,0,0,49,39,,1.0,7,0,,0,,1,3,2,0,1,0,0,3,0,2,,1,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
504,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.01,0,0,0,0,17,6,,0.0,2,0,,4,,0,0,5,0,0,0,0,1,0,0,,1,,0,0,2,0,0.56,0.56,0,6,4,0,1,0,0,0,,,0.0,,,0.0,0.0,0.0
267,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,1,1,0.04,0.04,0,0,0,2,21,13,,1.0,1,0,,0,,0,0,1,0,0,0,2,2,3,1,,1,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
266,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.38,0,0,0,1,36,26,,3.0,0,2,,0,,0,2,2,0,0,0,1,0,3,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
265,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,1,0.03,0.01,0,1,0,3,36,16,,1.0,1,0,,1,,2,0,1,1,3,3,0,5,2,4,,1,,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
272,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.01,0,1,0,0,42,35,,0.0,2,0,,0,,0,2,3,0,2,2,0,2,1,2,,0,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
263,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.02,0,0,0,0,41,35,,1.0,10,0,,0,,0,0,3,1,2,0,0,0,0,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
284,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,3,0.22,0.0,0,1,0,5,25,7,,0.0,2,0,,0,,1,0,4,0,1,1,0,6,1,3,,3,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
271,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.1,0,0,0,1,37,32,,2.0,3,1,,0,,0,0,7,0,0,0,0,0,0,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
256,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.02,0,0,0,1,41,23,,0.0,3,0,,0,,1,0,2,0,4,3,0,3,1,1,,2,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
257,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.01,0,0,0,0,37,27,,0.0,3,0,,0,,0,0,2,0,5,5,0,2,1,1,,1,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
270,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.07,0,0,0,0,35,24,,1.0,6,0,,2,,1,1,2,0,0,0,0,3,4,2,,1,,0,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
273,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.11,0,0,0,1,40,22,,1.0,4,2,,1,,0,0,1,0,1,1,1,2,1,2,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
269,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,3,0.08,0.04,2,1,1,3,35,20,,0.0,4,0,,0,,2,0,1,0,0,0,1,3,5,3,,0,,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
258,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.03,0,0,0,2,31,16,,0.0,1,0,,0,,1,0,3,0,1,1,0,3,2,1,,2,,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
276,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.02,0,1,0,1,45,28,,1.0,5,0,,0,,0,0,2,0,0,0,0,1,2,1,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
281,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,1,0.03,0.01,0,0,0,0,32,21,,0.0,8,0,,1,,1,0,2,0,1,0,0,2,4,2,,0,,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
253,25-26-friendly-crystal-palace-vs-hamarkameratene,45,0,0,0,0.0,0.0,0,0,0,0,16,13,,0.0,1,0,,0,,0,0,4,0,1,0,0,1,1,0,,1,,0,0,0,0,0.0,0.0,1,13,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
593,25-26-friendly-tottenham-hotspur-vs-arsenal,85,1,0,1,0.0,0.0,1,0,0,0,38,21,,0.0,3,0,,1,,5,0,3,1,4,1,1,9,3,7,,2,,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
568,25-26-friendly-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.0,0,2,0,1,58,27,,0.0,8,0,,4,,1,0,2,1,9,6,0,7,1,4,,3,,1,1,0,0,0.0,0.0,0,0,0,0,0,2,0,0,,,0.0,,,0.0,0.0,0.0
573,25-26-friendly-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.0,0,1,0,0,65,29,,0.0,4,0,,1,,1,1,4,1,3,0,1,7,6,5,,2,,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
586,25-26-friendly-tottenham-hotspur-vs-arsenal,77,0,0,0,0.0,0.0,0,0,0,0,34,24,,0.0,1,0,,2,,3,3,3,1,0,0,0,3,2,3,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,,,0.0,,,0.0,0.0,0.0
17,25-26-friendly-tottenham-hotspur-vs-arsenal,90,0,0,4,0.0,0.0,0,1,0,2,67,44,,3.0,11,4,,4,,0,0,11,0,0,0,0,1,3,1,,0,,0,1,0,0,0.0,0.0,0,0,0,0,0,5,0,0,,,0.0,,,0.0,0.0,0.0
585,25-26-friendly-tottenham-hotspur-vs-arsenal,85,0,0,0,0.0,0.0,0,0,0,0,53,39,,0.0,3,0,,0,,2,1,3,1,4,3,1,3,4,3,,0,,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
575,25-26-friendly-tottenham-hotspur-vs-arsenal,77,0,0,1,0.0,0.0,0,0,1,1,42,28,,0.0,6,0,,1,,1,1,0,1,4,2,0,5,2,3,,2,,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
569,25-26-friendly-tottenham-hotspur-vs-arsenal,63,0,0,0,0.0,0.0,0,1,0,0,43,31,,0.0,6,0,,1,,1,1,3,0,4,3,0,3,2,2,,1,,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
11,25-26-friendly-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,3,66,37,,1.0,9,2,,5,,3,0,4,1,2,1,1,5,4,5,,0,,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
565,25-26-friendly-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,42,18,,0.0,6,0,,6,,0,0,7,0,0,0,0,0,0,0,,0,,0,0,1,0,0.0,0.0,0,18,6,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
6,25-26-friendly-tottenham-hotspur-vs-arsenal,90,0,0,1,0.0,0.0,0,0,1,2,79,65,,0.0,16,0,,7,,0,1,5,2,3,1,0,3,1,1,,2,,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,1,,,0.0,,,0.0,0.0,0.0
582,25-26-friendly-tottenham-hotspur-vs-arsenal,63,0,0,2,0.0,0.0,0,2,0,1,43,19,,0.0,2,0,,1,,0,0,8,0,2,1,0,5,8,5,,0,,3,0,0,0,0.0,0.0,0,0,0,2,0,1,0,0,,,0.0,,,0.0,0.0,0.0
9,25-26-friendly-tottenham-hotspur-vs-arsenal,77,0,0,0,0.0,0.0,0,0,0,0,57,38,,0.0,3,0,,0,,0,2,1,1,3,1,0,7,3,5,,2,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
570,25-26-friendly-tottenham-hotspur-vs-arsenal,28,0,0,0,0.0,0.0,0,0,0,0,10,6,,0.0,1,0,,0,,0,0,1,0,2,2,0,2,0,0,,2,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
579,25-26-friendly-tottenham-hotspur-vs-arsenal,14,0,0,0,0.0,0.0,0,1,0,0,8,3,,0.0,1,0,,0,,0,0,1,0,0,0,0,2,0,1,,1,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
30,25-26-friendly-tottenham-hotspur-vs-arsenal,77,0,0,2,0.0,0.0,1,0,0,4,26,9,,2.0,0,0,,0,,2,0,2,0,1,1,4,6,11,3,,3,,2,3,0,0,0.0,0.0,0,0,0,1,0,0,0,0,,,0.0,,,0.0,0.0,0.0
587,25-26-friendly-tottenham-hotspur-vs-arsenal,14,0,0,0,0.0,0.0,0,0,0,0,7,2,,0.0,0,0,,0,,0,1,0,0,2,0,0,1,0,0,,1,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
20,25-26-friendly-tottenham-hotspur-vs-arsenal,17,0,0,0,0.0,0.0,0,1,0,0,12,6,,0.0,0,0,,1,,0,0,0,0,0,0,0,2,0,2,,0,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
597,25-26-friendly-tottenham-hotspur-vs-arsenal,64,0,0,1,0.0,0.0,0,0,0,2,19,4,,1.0,1,0,,0,,1,0,1,0,2,0,1,2,6,1,,1,,0,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0,,,0.0,,,0.0,0.0,0.0
588,25-26-friendly-tottenham-hotspur-vs-arsenal,77,0,0,1,0.0,0.0,0,1,0,4,32,15,,0.0,1,0,,1,,0,1,3,0,0,0,0,2,8,2,,0,,1,1,0,0,0.0,0.0,0,0,0,2,0,0,0,0,,,0.0,,,0.0,0.0,0.0
16,25-26-friendly-tottenham-hotspur-vs-arsenal,77,0,0,1,0.0,0.0,0,1,0,6,43,17,,0.0,1,1,,0,,2,0,3,0,0,0,1,7,8,7,,0,,3,2,0,0,0.0,0.0,0,0,0,2,0,6,0,1,,,0.0,,,0.0,0.0,0.0
12,25-26-friendly-tottenham-hotspur-vs-arsenal,14,0,0,0,0.0,0.0,0,0,0,2,20,9,,0.0,0,0,,1,,0,0,0,0,0,0,0,1,0,1,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
666,25-26-friendly-tottenham-hotspur-vs-arsenal,14,0,0,0,0.0,0.0,0,0,0,1,2,2,,1.0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
580,25-26-friendly-tottenham-hotspur-vs-arsenal,28,0,0,0,0.0,0.0,0,0,0,0,4,0,,0.0,0,0,,0,,0,0,0,1,1,1,0,0,0,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
662,25-26-friendly-tottenham-hotspur-vs-arsenal,14,0,0,1,0.0,0.0,0,0,0,2,16,13,,0.0,4,0,,3,,0,0,2,0,0,0,0,0,3,0,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0
